FECHA,VARIABLE,CAMOTAN,CATARINA,CHAMPERICO FEGUA,COBAN,EL CAPITAN,ESQUIPULAS,FLORES AEROPUERTO,LA AURORA,LA CEIBITA,LA FRAGUA,LABOR OVALLE,LOS ALTOS,MAZATENANGO,MONTUFAR,PANZÓS PHC ALTAVERAPAZ,PUERTO BARRIOS PHC,RETALHULEU AEROPUERTO,SACAPULAS,SAN MARCOS PHC,SANTA CRUZ BALANYÁ,TODOS SANTOS,INSIVUMEH,ALAMEDA ICTA,ASUNCION MITA,CHINIQUE,EL TABLON,HUEHUETENANGO,LA UNION,LAS VEGAS PHC,NEBAJ,POPTUN,QUEZADA,SABANA GRANDE,SAN AGUSTIN ACASAGUASTLAN,SAN JERONIMO,SAN JOSE AEROPUERTO,SAN PEDRO NECTA,SANTA MARIA CAHABON,SANTIAGO ATITLAN,SUIZA CONTENTA,TECUN UMAN,CHIXOY PCH,CUBULCO,LOS ALBORES,LOS ESCLAVOS,PASABIEN,POTRERO CARRILLO,SAN MARTIN JILOTEPEQUE,AMATITLAN,ANTIGUA GUATEMALA,CONCEPCION,IXCHIGUAN,JALAPA,LA REFORMA,LAS NUBES,LO DE COY,MARISCOS,MORALES MET,NENTON,NUEVA CONCEPCION,PACHUTÉ,PLAYA GRANDE IXCAN,SAN JOSE PINULA,SAN PEDRO AYAMPUC,SANTA CRUZ DEL QUICHE,SANTA MARGARITA,TOTONICAPAN
2022-01-11,TSUELO,-99.9,-99.9,-99.9,21.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,16.1,-99.9,-99.9,22.5,-99.9,-99.9,-99.9,18.1,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-12,TSUELO,-99.9,-99.9,-99.9,21.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.6,-99.9,-99.9,-99.9,18.1,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-13,TSUELO,-99.9,-99.9,-99.9,21.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,14.2,-99.9,-99.9,22.6,-99.9,-99.9,-99.9,18.1,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-14,NUBOSIDAD,-99.9,-99.9,1.0,3.0,6,-99.9,4.0,6.0,4.0,-99.9,5.0,6.0,5.0,0,7.0,5.0,4,7.0,1.0,-99.9,4.0,3.0,6,2.0,5.0,3.0,6.0,5.0,7.0,-99.9,-99.9,4,5,5.0,7.0,1.0,-99.9,8,4,8.0,2,-99.9,6.0,7.0,5.0,5.0,-99.9,7.0,2.0,8.0,7.0,8.0,5.0,-99.9,-99.9,1.0,-99.9,4.0,-99.9,-99.9,-99.9,6.0,4.0,7.0,6.0,5.0,7.0
2022-01-15,TSUELO,-99.9,-99.9,-99.9,21.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.3,-99.9,-99.9,22.5,-99.9,-99.9,-99.9,18.1,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-16,TSUELO,-99.9,-99.9,-99.9,21.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.5,-99.9,-99.9,-99.9,18.1,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-17,EVA. TANQUE,-99.9,-99.9,-99.9,4.7,-99.9,3.7,1.1,-99.9,-99.9,5.7,-99.9,2.6,-99.9,6,-99.9,4.8,-99.9,-99.9,3.1,-99.9,-99.9,4.5,-99.9,6.2,-99.9,4.4,5.8,-99.9,-99.9,-99.9,-99.9,-99.9,3.1,-99.9,-99.9,-99.9,-99.9,18,2.5,-99.9,2.1,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-18,DIR. VIENTO,-99.9,9.0,4.0,2.5,8.7,5.3,4.9,17.3,-99.9,9.4,-99.9,0.0,270.0,9,180.0,90.0,180,90.0,270.0,-99.9,270.0,45.0,90,360.0,-99.9,0.0,135.0,45.0,-99.9,-99.9,9.0,315,45,9.0,90.0,180.0,-99.9,0,0,9.0,9,-99.9,45.0,360.0,90.0,360.0,-99.9,9.0,315.0,9.0,9.0,-99.9,45.0,-99.9,-99.9,45.0,225.0,9.0,-99.9,-99.9,-99.9,-99.9,225.0,45.0,-99.9,90.0,45.0
2022-01-19,TSUELO,-99.9,-99.9,-99.9,21.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.4,-99.9,-99.9,-99.9,18.1,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-20,NUBOSIDAD,-99.9,3.7,0.0,4.3,1,5.0,2.0,2.0,-99.9,1,2.0,0.0,4.0,0,5.0,4.0,2,0.0,8.0,-99.9,1.3,1.0,0,1.0,1.0,1.0,0.0,6.0,7.0,-99.9,5.0,1,1,1.0,1.0,0.0,-99.9,5,1,3.0,1,-99.9,1.0,2.0,0.0,2.0,-99.9,0.0,4.0,7.0,4.0,3.0,4.0,-99.9,-99.9,3.0,5.0,2.0,-99.9,-99.9,-99.9,2.0,0.0,4.0,2.0,4.0,0.0
2022-01-21,NUBOSIDAD,-99.9,1.3,0.7,4.7,0.3,4.7,6.0,1.0,-99.9,1.7,3.0,0.0,3.3,0,6.0,4.0,1,1.3,8.0,-99.9,3.3,1.0,0,1.0,0.0,0.0,2.0,4.0,6.0,-99.9,5.0,1,0,1.0,1.0,2.0,-99.9,5,1,1.0,1,-99.9,2.0,3.0,2.0,1.0,-99.9,0.0,2.0,7.0,2.0,5.0,4.0,-99.9,-99.9,1.0,5.0,1.0,-99.9,-99.9,-99.9,6.0,1.0,3.0,2.0,3.0,0.0
2022-01-22,PRESION ATM.,-99.9,-99.9,756.2,655.0,-99.9,653.3,753.5,639.8,-99.9,56,-99.9,580.1,-99.9,-99.9,-99.9,760.5,741.9,-99.9,-99.9,-99.9,-99.9,640.0,-99.9,-99.9,-99.9,-99.9,612.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,759.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-23,TSUELO,-99.9,-99.9,-99.9,21.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,19.0,-99.9,-99.9,22.1,-99.9,-99.9,-99.9,18.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-24,TSUELO,-99.9,-99.9,-99.9,21.4,-99.9,-99.9,-99.69,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,15.4,-99.9,-99.9,22.3,-99.9,-99.9,-99.9,18.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-25,PRESION ATM.,-99.9,-99.9,755.8,651.9,-99.9,681.1,748.4,638.5,-99.9,739.2,-99.9,579.4,-99.9,-99.9,-99.9,756.6,741.5,-99.9,-99.9,-99.9,-99.9,639.0,-99.9,-99.9,-99.9,-99.9,610.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,759.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
